target,composition,batch_size,batch_texts,embedding_cosine_vs_single,top1_category,top1_score,top2_category,top2_score,score_gap,accepted,top1_changed,top2_changed,threshold_changed,only_numerical_values_changed
Folic Acid 600 MCG,single,1,"[""Folic Acid 600 MCG""]",1.0,Medicine,0.811786413192749,Groceries,0.797875165939331,0.013911247253417969,True,False,False,False,False
Folic Acid 600 MCG,pair_target,2,"[""Folic Acid 600 MCG"", ""Panadol Extra""]",0.9968916177749634,Medicine,0.8161493539810181,Groceries,0.7976440191268921,0.018505334854125977,True,False,False,False,True
Folic Acid 600 MCG,pair_filler,2,"[""Folic Acid 600 MCG"", ""Sparkling Water 1L""]",0.9976333975791931,Medicine,0.8137365579605103,Groceries,0.800667405128479,0.01306915283203125,True,False,False,False,True
Folic Acid 600 MCG,four_targets,4,"[""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner""]",0.99711674451828,Medicine,0.815914511680603,Groceries,0.7995792627334595,0.016335248947143555,True,False,False,False,True
Folic Acid 600 MCG,four_fillers,4,"[""Folic Acid 600 MCG"", ""Sparkling Water 1L"", ""USB-C Cable"", ""Taxi Ride""]",0.9975185990333557,Medicine,0.8159621953964233,Groceries,0.8024351596832275,0.0135270357131958,True,False,False,False,True
Folic Acid 600 MCG,nine_targets,9,"[""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner"", ""Chicken Breast"", ""طماطم"", ""شامبو دوف"", ""Atomic Habits"", ""Clean Code""]",0.9972515106201172,Medicine,0.8171559572219849,Groceries,0.801030158996582,0.016125798225402832,True,False,False,False,True
Folic Acid 600 MCG,nine_fillers,9,"[""Folic Acid 600 MCG"", ""Sparkling Water 1L"", ""USB-C Cable"", ""Taxi Ride"", ""Laundry Detergent"", ""Cinema Ticket"", ""Electricity Bill"", ""Orange Juice"", ""Notebook A5""]",0.9963878989219666,Medicine,0.8176083564758301,Groceries,0.8032216429710388,0.01438671350479126,True,False,False,False,True
Panadol Extra,single,1,"[""Panadol Extra""]",1.0,Groceries,0.8133690357208252,Fruits & Vegetables,0.8115770816802979,0.0017919540405273438,False,False,False,False,False
Panadol Extra,pair_target,2,"[""Panadol Extra"", ""Folic Acid 600 MCG""]",0.9974198341369629,Groceries,0.8140426874160767,Fruits & Vegetables,0.8103439807891846,0.00369870662689209,False,False,False,False,True
Panadol Extra,pair_filler,2,"[""Panadol Extra"", ""USB-C Cable""]",0.9979809522628784,Groceries,0.8128040432929993,Fruits & Vegetables,0.8099280595779419,0.002875983715057373,False,False,False,False,True
Panadol Extra,four_targets,4,"[""Panadol Extra"", ""Folic Acid 600 MCG"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner""]",0.9975260496139526,Groceries,0.8165467381477356,Fruits & Vegetables,0.8116264343261719,0.004920303821563721,False,False,False,False,True
Panadol Extra,four_fillers,4,"[""Panadol Extra"", ""USB-C Cable"", ""Taxi Ride"", ""Laundry Detergent""]",0.9971747398376465,Groceries,0.811989426612854,Fruits & Vegetables,0.8076319694519043,0.004357457160949707,False,False,False,False,True
Panadol Extra,nine_targets,9,"[""Folic Acid 600 MCG"", ""Panadol Extra"", ""IMMULANT PLUS 20 CAP"", ""Dettol Floor Cleaner"", ""Chicken Breast"", ""طماطم"", ""شامبو دوف"", ""Atomic Habits"", ""Clean Code""]",0.9969843029975891,Groceries,0.8092168569564819,Fruits & Vegetables,0.8073676824569702,0.0018491744995117188,False,False,False,False,True
Panadol Extra,nine_fillers,9,"[""Panadol Extra"", ""USB-C Cable"", ""Taxi Ride"", ""Laundry Detergent"", ""Cinema Ticket"", ""Electricity Bill"", ""Orange Juice"", ""Notebook A5"", ""Sparkling Water 1L""]",0.997730016708374,Groceries,0.8113124370574951,Fruits & Vegetables,0.8089184165000916,0.0023940205574035645,False,False,False,False,True
IMMULANT PLUS 20 CAP,single,1,"[""IMMULANT PLUS 20 CAP""]",1.0,Medicine,0.8029736280441284,Household,0.7988722324371338,0.004101395606994629,False,False,False,False,False
IMMULANT PLUS 20 CAP,pair_target,2,"[""IMMULANT PLUS 20 CAP"", ""Folic Acid 600 MCG""]",0.9970138669013977,Medicine,0.8007748126983643,Household,0.7955167293548584,0.005258083343505859,False,False,False,False,True
