approach,state,confirmed_examples,books_top1_accuracy,evaluation_trials,evaluation_method
E5_ONNX_FP32,BOOKS_0_EXAMPLES,0,0.25,12,all eligible leave-one-canonical-out reference combinations
E5_ONNX_FP32,BOOKS_1_EXAMPLES,1,1.0,72,all eligible leave-one-canonical-out reference combinations
E5_ONNX_FP32,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
E5_ONNX_FP32,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_PER_TENSOR,BOOKS_0_EXAMPLES,0,0.25,12,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_PER_TENSOR,BOOKS_1_EXAMPLES,1,1.0,72,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_PER_TENSOR,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_PER_TENSOR,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_PER_CHANNEL,BOOKS_0_EXAMPLES,0,0.25,12,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_PER_CHANNEL,BOOKS_1_EXAMPLES,1,0.9861111111111112,72,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_PER_CHANNEL,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_PER_CHANNEL,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_MATMUL_PER_CHANNEL,BOOKS_0_EXAMPLES,0,0.25,12,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_MATMUL_PER_CHANNEL,BOOKS_1_EXAMPLES,1,0.9861111111111112,72,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_MATMUL_PER_CHANNEL,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
E5_DYNAMIC_INT8_MATMUL_PER_CHANNEL,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_U8S8_PER_TENSOR,BOOKS_0_EXAMPLES,0,0.0,12,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_U8S8_PER_TENSOR,BOOKS_1_EXAMPLES,1,0.5138888888888888,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_U8S8_PER_TENSOR,BOOKS_3_EXAMPLES,3,0.8375,240,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_U8S8_PER_TENSOR,BOOKS_5_EXAMPLES,5,0.8888888888888888,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_U8S8_PER_CHANNEL,BOOKS_0_EXAMPLES,0,0.0,12,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_U8S8_PER_CHANNEL,BOOKS_1_EXAMPLES,1,0.4861111111111111,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_U8S8_PER_CHANNEL,BOOKS_3_EXAMPLES,3,0.85,240,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_U8S8_PER_CHANNEL,BOOKS_5_EXAMPLES,5,0.9444444444444444,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_MATMUL_U8S8_PER_CHANNEL,BOOKS_0_EXAMPLES,0,0.3333333333333333,12,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_MATMUL_U8S8_PER_CHANNEL,BOOKS_1_EXAMPLES,1,0.9861111111111112,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_MATMUL_U8S8_PER_CHANNEL,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_MATMUL_U8S8_PER_CHANNEL,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QOP_U8S8_PER_CHANNEL,BOOKS_0_EXAMPLES,0,0.0,12,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QOP_U8S8_PER_CHANNEL,BOOKS_1_EXAMPLES,1,0.375,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QOP_U8S8_PER_CHANNEL,BOOKS_3_EXAMPLES,3,0.5208333333333334,240,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QOP_U8S8_PER_CHANNEL,BOOKS_5_EXAMPLES,5,0.5694444444444444,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_S8S8_PER_TENSOR,BOOKS_0_EXAMPLES,0,0.0,12,all eligible leave-one-canonical-out reference combinations
