pipeline,semantic_approach,accepted_suggestions,coverage_percentage,accepted_accuracy,incorrect_accepted_suggestions,lexical_accepted,semantic_accepted_after_lexical,note
USER_LEARNED -> LEXICAL -> E5_ONNX_FP32 -> ABSTAIN,E5_ONNX_FP32,66,45.20547945205479,0.9242424242424242,5,22,44,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> E5_DYNAMIC_INT8_PER_TENSOR -> ABSTAIN,E5_DYNAMIC_INT8_PER_TENSOR,65,44.52054794520548,0.9384615384615385,4,22,43,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> E5_DYNAMIC_INT8_PER_CHANNEL -> ABSTAIN,E5_DYNAMIC_INT8_PER_CHANNEL,62,42.465753424657535,0.9354838709677419,4,22,40,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> E5_DYNAMIC_INT8_MATMUL_PER_CHANNEL -> ABSTAIN,E5_DYNAMIC_INT8_MATMUL_PER_CHANNEL,62,42.465753424657535,0.9354838709677419,4,22,40,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> E5_STATIC_QDQ_U8S8_PER_CHANNEL -> ABSTAIN,E5_STATIC_QDQ_U8S8_PER_CHANNEL,25,17.123287671232877,0.92,2,22,3,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> E5_STATIC_QDQ_MATMUL_U8S8_PER_CHANNEL -> ABSTAIN,E5_STATIC_QDQ_MATMUL_U8S8_PER_CHANNEL,58,39.726027397260275,0.9137931034482759,5,22,36,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> E5_STATIC_QDQ_S8S8_PER_CHANNEL -> ABSTAIN,E5_STATIC_QDQ_S8S8_PER_CHANNEL,24,16.43835616438356,0.9166666666666666,2,22,2,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> E5_STATIC_QDQ_MATMUL_S8S8_PER_CHANNEL -> ABSTAIN,E5_STATIC_QDQ_MATMUL_S8S8_PER_CHANNEL,60,41.0958904109589,0.95,3,22,38,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> ARABIC_TRIMMED_E5_FP32 -> ABSTAIN,ARABIC_TRIMMED_E5_FP32,65,44.52054794520548,0.9384615384615385,4,22,43,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> ARABIC_TRIMMED_E5_DYNAMIC_INT8_PER_CHANNEL -> ABSTAIN,ARABIC_TRIMMED_E5_DYNAMIC_INT8_PER_CHANNEL,64,43.83561643835616,0.953125,3,22,42,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> FIHRIS_MINILM_FP32 -> ABSTAIN,FIHRIS_MINILM_FP32,72,49.31506849315068,0.8888888888888888,8,22,50,USER_LEARNED exact matches unavailable in this static benchmark
USER_LEARNED -> LEXICAL -> FIHRIS_MINILM_DYNAMIC_INT8_PER_CHANNEL -> ABSTAIN,FIHRIS_MINILM_DYNAMIC_INT8_PER_CHANNEL,70,47.94520547945205,0.8857142857142857,8,22,48,USER_LEARNED exact matches unavailable in this static benchmark
