runtime,state,confirmed_examples,books_top1_accuracy,evaluation_trials,evaluation_method
PYTORCH,BOOKS_0_EXAMPLES,0,0.25,12,all eligible leave-one-canonical-out reference combinations
PYTORCH,BOOKS_1_EXAMPLES,1,1.0,72,all eligible leave-one-canonical-out reference combinations
PYTORCH,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
PYTORCH,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
ONNX_FP32,BOOKS_0_EXAMPLES,0,0.25,12,all eligible leave-one-canonical-out reference combinations
ONNX_FP32,BOOKS_1_EXAMPLES,1,1.0,72,all eligible leave-one-canonical-out reference combinations
ONNX_FP32,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
ONNX_FP32,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
ONNX_INT8,BOOKS_0_EXAMPLES,0,0.25,12,all eligible leave-one-canonical-out reference combinations
ONNX_INT8,BOOKS_1_EXAMPLES,1,1.0,72,all eligible leave-one-canonical-out reference combinations
ONNX_INT8,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
ONNX_INT8,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
