approach,overall_top1_accuracy,overall_top3_accuracy,english_top1_accuracy,arabic_top1_accuracy,mixed_top1_accuracy,clean_top1_accuracy,ocr_noise_top1_accuracy,category_top1__medicine,category_top1__household,category_top1__groceries,category_top1__restaurants,category_top1__books,family,quantization,model_bytes,tokenizer_bytes,total_deployable_mib,total_with_existing_ocr_mib,size_guidance,warm_single_ms_per_item,warm_batch32_ms_per_item,parity_reference,quantization_per_channel,quantization_activation_type,quantization_weight_type,quantization_op_scope,mean_embedding_cosine_vs_reference,worst_embedding_cosine_vs_reference,books_0_examples_accuracy,books_1_examples_accuracy,books_3_examples_accuracy,books_5_examples_accuracy,safe_threshold_type,safe_minimum_score,safe_minimum_gap,safe_accepted_accuracy,safe_coverage_percentage,safe_incorrect_accepted_suggestions
E5_ONNX_FP32,0.7328767123287672,0.8767123287671232,0.6666666666666666,0.7291666666666666,0.9230769230769231,0.7578947368421053,0.46153846153846156,0.7857142857142857,0.75,0.6666666666666666,0.75,0.5,multilingual-e5-small,FP32,470268685,17083159,464.7749366760254,479.7749366760254,Too large,6.837831251080691,4.105176835518354,E5_ONNX_FP32,,,,,1.0,0.9999998807907104,0.25,1.0,1.0,1.0,GAP_ONLY,,0.01,0.9523809523809523,43.15068493150685,3.0
E5_DYNAMIC_INT8_PER_TENSOR,0.678082191780822,0.8767123287671232,0.625,0.6458333333333334,0.8846153846153846,0.6631578947368421,0.5384615384615384,0.6428571428571429,0.75,0.75,0.5,0.4166666666666667,multilingual-e5-small,dynamic,118129688,17083159,128.94901943206787,143.94901943206787,Too large,4.608429166789089,2.719651645526903,E5_ONNX_FP32,False,runtime dynamic,QInt8,ONNX Runtime defaults,0.9905303716659546,0.9782356023788452,0.25,1.0,1.0,1.0,GAP_ONLY,,0.01,0.9672131147540983,41.78082191780822,2.0
E5_DYNAMIC_INT8_PER_CHANNEL,0.726027397260274,0.8767123287671232,0.6527777777777778,0.7291666666666666,0.9230769230769231,0.7578947368421053,0.4230769230769231,0.7142857142857143,0.75,0.6666666666666666,0.75,0.5,multilingual-e5-small,dynamic,118337408,17083159,129.14711666107178,144.14711666107178,Too large,4.66719999955482,2.8710683543954185,E5_ONNX_FP32,True,runtime dynamic,QInt8,ONNX Runtime defaults,0.9957420825958252,0.9885933995246887,0.25,0.9861111111111112,1.0,1.0,GAP_ONLY,,0.01,0.9655172413793104,39.726027397260275,2.0
E5_DYNAMIC_INT8_MATMUL_PER_CHANNEL,0.7123287671232876,0.8904109589041096,0.6527777777777778,0.6875,0.9230769230769231,0.7263157894736842,0.46153846153846156,0.7142857142857143,0.75,0.75,0.8333333333333334,0.3333333333333333,multilingual-e5-small,dynamic,406970633,17083159,404.4092102050781,419.4092102050781,Too large,4.846766666256978,2.9297446837218453,E5_ONNX_FP32,True,runtime dynamic,QInt8,['MatMul'],0.9958162307739258,0.9884244203567505,0.25,0.9861111111111112,1.0,1.0,GAP_ONLY,,0.01,0.9661016949152542,40.41095890410959,2.0
E5_STATIC_QDQ_U8S8_PER_TENSOR,0.2465753424657534,0.5,0.25,0.20833333333333334,0.3076923076923077,0.2736842105263158,0.07692307692307693,0.5714285714285714,0.5,0.0,0.08333333333333333,0.08333333333333333,multilingual-e5-small,static,118444964,17083159,129.24969005584717,144.24969005584717,Too large,6.32450000011886,3.3998007594336626,E5_ONNX_FP32,False,QUInt8,QInt8,ONNX Runtime defaults,0.7712337970733643,0.7026253938674927,0.0,0.5138888888888888,0.8375,0.8888888888888888,,,,,,
E5_STATIC_QDQ_U8S8_PER_CHANNEL,0.273972602739726,0.541095890410959,0.2638888888888889,0.2708333333333333,0.3076923076923077,0.3157894736842105,0.07692307692307693,0.2857142857142857,0.4166666666666667,0.08333333333333333,0.0,0.16666666666666666,multilingual-e5-small,static,118653620,17083159,129.44867992401123,144.44867992401123,Too large,6.011916667072607,3.434905569699793,E5_ONNX_FP32,True,QUInt8,QInt8,ONNX Runtime defaults,0.7713680863380432,0.7043396234512329,0.0,0.4861111111111111,0.85,0.9444444444444444,GAP_ONLY,,0.01,1.0,2.0547945205479454,0.0
E5_STATIC_QDQ_MATMUL_U8S8_PER_CHANNEL,0.636986301369863,0.8287671232876712,0.5833333333333334,0.5833333333333334,0.8846153846153846,0.6631578947368421,0.3076923076923077,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.5,0.4166666666666667,multilingual-e5-small,static,407090100,17083159,404.52314281463623,419.52314281463623,Too large,6.194614583364455,3.435845822729524,E5_ONNX_FP32,True,QUInt8,QInt8,['MatMul'],0.9757257699966431,0.9557984471321106,0.3333333333333333,0.9861111111111112,1.0,1.0,GAP_ONLY,,0.01,0.9444444444444444,36.986301369863014,3.0
E5_STATIC_QOP_U8S8_PER_CHANNEL,0.1917808219178082,0.5,0.1388888888888889,0.1875,0.34615384615384615,0.15789473684210525,0.15384615384615385,0.21428571428571427,0.0,0.0,0.16666666666666666,0.16666666666666666,multilingual-e5-small,static,118387132,17083159,129.19453716278076,144.19453716278076,Too large,5.844001042229745,3.496181772199542,E5_ONNX_FP32,True,QUInt8,QInt8,ONNX Runtime defaults,0.7635000348091125,0.6864794492721558,0.0,0.375,0.5208333333333334,0.5694444444444444,,,,,,
E5_STATIC_QDQ_S8S8_PER_TENSOR,0.1643835616438356,0.4520547945205479,0.18055555555555555,0.125,0.19230769230769232,0.16842105263157894,0.11538461538461539,0.14285714285714285,0.25,0.0,0.0,0.08333333333333333,multilingual-e5-small,static,118447504,17083159,129.25211238861084,144.25211238861084,Too large,57.13844062483986,7.407446455761578,E5_ONNX_FP32,False,QInt8,QInt8,ONNX Runtime defaults,0.770520806312561,0.6924551725387573,0.0,0.6944444444444444,0.975,1.0,,,,,,
E5_STATIC_QDQ_S8S8_PER_CHANNEL,0.2465753424657534,0.4315068493150685,0.25,0.1875,0.34615384615384615,0.23157894736842105,0.19230769230769232,0.7142857142857143,0.16666666666666666,0.0,0.25,0.08333333333333333,multilingual-e5-small,static,118656160,17083159,129.4511022567749,144.4511022567749,Too large,135.43940937476387,10.921952911266539,E5_ONNX_FP32,True,QInt8,QInt8,ONNX Runtime defaults,0.7733798027038574,0.6998261213302612,0.0,0.6111111111111112,0.9166666666666666,0.9444444444444444,GAP_ONLY,,0.01,1.0,2.0547945205479454,0.0
